,model_name,model_year,kms_driven,mileage,power,price,company,engine
693,Yamaha YZF-R15,2019,18000.0,42.0,16.0,88000.0,Yamaha,150.0
694,Royal Enfield,2019,3500.0,35.0,19.8,186750.0,Royal,350.0
695,Royal Enfield,2017,16100.0,35.0,19.8,112100.0,Royal,350.0
696,Yamaha YZF-R15,2011,33000.0,42.0,16.0,32025.0,Yamaha,150.0
697,Bajaj Avenger,2014,32000.0,40.0,19.0,40000.0,Bajaj,220.0
698,Bajaj Pulsar,2014,46000.0,40.0,24.2,45000.0,Bajaj,200.0
699,Bajaj Pulsar,2016,310000.0,38.0,21.0,55000.0,Bajaj,220.0
700,Bajaj Pulsar,2015,52000.0,38.0,21.0,47000.0,Bajaj,220.0
701,Royal Enfield,2015,70000.0,35.0,19.8,105000.0,Royal,350.0
702,Bajaj Avenger,2014,22033.0,40.0,19.0,41000.0,Bajaj,220.0
703,Royal Enfield,2019,9000.0,35.0,19.8,180000.0,Royal,350.0
704,Bajaj Pulsar,2017,10000.0,65.0,17.0,85000.0,Bajaj,180.0
705,Yamaha YZF-R15,2012,28000.0,42.0,16.7,80000.0,Yamaha,150.0
706,Hero Passion,2009,112000.0,5.0,8.2,12000.0,Hero,100.0
707,Hero CD,2006,60000.0,65.0,7.7,12119.0,Hero,100.0
708,Royal Enfield,2017,21000.0,35.0,19.8,155000.0,Royal,350.0
709,Hero CD,2012,59000.0,65.0,7.7,35000.0,Hero,100.0
710,Suzuki Gixxer,2020,6000.0,40.0,14.6,132600.0,Suzuki,150.0
711,Suzuki Gixxer,2018,24000.0,40.0,14.6,80000.0,Suzuki,150.0
712,Hero Passion,2019,22465.0,84.0,8.2,44000.0,Hero,100.0
713,Royal Enfield,2013,20000.0,35.0,19.8,110000.0,Royal,350.0
714,Royal Enfield,2017,15960.0,25.0,27.2,165000.0,Royal,500.0
715,Royal Enfield,2013,71000.0,35.0,19.8,70000.0,Royal,350.0
716,Royal Enfield,2017,6000.0,35.0,27.2,134400.0,Royal,500.0
717,Yamaha YZF-R15,2013,82200.0,42.0,16.7,59000.0,Yamaha,150.0
718,Royal Enfield,2017,23126.0,25.0,19.8,110000.0,Royal,350.0
719,Bajaj Pulsar,2020,8000.0,62.0,11.64,74000.0,Bajaj,125.0
720,Royal Enfield,2018,7000.0,40.0,19.8,160000.0,Royal,350.0
721,Yamaha FZs,2014,26330.0,45.0,13.0,45400.0,Yamaha,150.0
722,Suzuki Gixxer,2019,13500.0,63.0,14.0,88187.0,Suzuki,150.0
723,Royal Enfield,2021,900.0,35.0,19.1,233438.0,Royal,350.0
724,Royal Enfield,2017,13000.0,35.0,19.8,145000.0,Royal,350.0
725,KTM Duke,2017,14000.0,25.0,42.9,185000.0,KTM,390.0
726,KTM Duke,2019,14000.0,25.0,42.9,245000.0,KTM,390.0
727,Bajaj Avenger,2017,7400.0,40.0,19.0,66900.0,Bajaj,220.0
728,Yamaha FZs,2015,18000.0,45.0,13.0,30000.0,Yamaha,150.0
729,Bajaj Pulsar,2020,67000.0,62.0,11.64,56600.0,Bajaj,125.0
730,Hero Ignitor,2013,38000.0,55.0,11.0,39425.0,Hero,125.0
731,KTM RC,2019,14800.0,35.0,25.1,180000.0,KTM,200.0
732,Yamaha FZs,2015,18000.0,45.0,13.0,48000.0,Yamaha,150.0
733,Hero Splendor,2019,16000.0,81.0,8.2,59000.0,Hero,100.0
734,Yamaha YZF-R15,2019,81315.0,42.0,16.0,150000.0,Yamaha,150.0
735,Royal Enfield,2019,43574.0,25.0,26.1,190000.0,Royal,500.0
736,KTM RC,2021,1600.0,26.0,42.3,296000.0,KTM,390.0
737,KTM Duke,2013,25000.0,35.0,25.0,74400.0,KTM,200.0
738,Royal Enfield,2017,17415.0,35.0,19.8,138880.0,Royal,350.0
739,Honda CBR,2013,51000.0,38.0,18.28,62496.0,Honda,150.0
740,Royal Enfield,2018,29000.0,40.0,19.8,155000.0,Royal,350.0
741,Royal Enfield,2000,27000.0,30.0,18.0,100000.0,Royal,350.0
742,Bajaj V12,2017,35000.0,57.0,12.0,45000.0,Bajaj,125.0
743,Royal Enfield,2018,6000.0,32.0,24.5,172000.0,Royal,410.0
744,Royal Enfield,2017,16020.0,32.0,24.5,150000.0,Royal,410.0
745,Royal Enfield,2010,31200.0,35.0,19.8,69512.0,Royal,350.0
746,Bajaj Avenger,2013,27000.0,40.0,19.0,35000.0,Bajaj,220.0
747,KTM RC,2016,26000.0,26.0,42.3,128000.0,KTM,390.0
748,Bajaj Pulsar,2019,20000.0,65.0,17.0,86948.0,Bajaj,180.0
749,Royal Enfield,2021,800.0,35.0,19.1,236000.0,Royal,350.0
750,Hero Passion,2013,21000.0,5.0,8.2,35500.0,Hero,100.0
751,Hero Passion,2017,20000.0,5.0,8.2,45000.0,Hero,100.0
752,Hero Passion,2008,30000.0,5.0,8.2,24500.0,Hero,100.0
753,KTM RC,2018,3500.0,35.0,25.1,166000.0,KTM,200.0
754,Royal Enfield,2014,18113.0,37.0,19.0,90000.0,Royal,350.0
